,Age,Income_Monthly,Credit_Score,Debt_to_Income_Ratio,Experience_Years,Existing_Loans_Count,Savings_Balance,Missed_Payments_Last_Year,Default_Status,Debt_Stress_Index,Monthly_Debt_Amount
0,60,14948,438,0.23,34,3,121796,0,0,100.74000000000001,3438.04
1,50,6059,575,0.18,18,4,1894,0,0,103.5,1090.62
2,36,4773,590,0.45,20,4,126242,0,0,265.5,2147.85
3,64,11878,352,0.23,32,2,10821,0,0,80.96000000000001,2731.94
4,29,10383,409,0.56,22,1,5786,0,1,229.04000000000002,5814.4800000000005
5,42,12178,303,0.16,5,0,95103,0,1,48.480000000000004,1948.48
6,60,13815,346,0.26,31,2,62822,0,0,89.96000000000001,3591.9
7,40,9409,393,0.13,21,2,144060,1,0,51.09,1223.17
8,44,12377,512,0.45,2,1,39448,0,0,230.4,5569.650000000001
9,32,6440,735,0.55,34,0,13633,2,1,404.25000000000006,3542.0000000000005
10,32,9347,807,0.42,15,0,61522,1,0,338.94,3925.74
11,45,3008,504,0.57,24,4,134725,1,0,287.28,1714.56
12,57,5783,680,0.16,16,0,118460,0,1,108.8,925.28
13,61,8646,372,0.14,38,2,8244,0,1,52.080000000000005,1210.44
14,45,6298,815,0.52,12,4,107678,1,0,423.8,3274.96
15,24,6668,375,0.53,27,0,91145,2,1,198.75,3534.04
16,43,6287,376,0.52,10,1,136609,0,0,195.52,3269.2400000000002
17,23,4052,709,0.5,9,2,90183,1,1,354.5,2026.0
18,45,8009,405,0.28,38,3,23930,0,0,113.4,2242.5200000000004
19,51,13500,775,0.21,23,1,110681,1,0,162.75,2835.0
20,59,3716,574,0.56,37,1,74385,0,0,321.44000000000005,2080.96
21,23,2310,387,0.25,23,0,46653,0,0,96.75,577.5
22,42,6538,376,0.3,32,4,137087,0,0,112.8,1961.3999999999999
23,54,3260,376,0.45,16,4,28795,0,0,169.20000000000002,1467.0
24,33,5932,741,0.25,35,2,14803,0,0,185.25,1483.0
25,43,13460,839,0.51,34,0,68018,2,1,427.89,6864.6
26,46,2584,544,0.14,5,4,30228,0,0,76.16000000000001,361.76000000000005
27,48,12991,681,0.5,15,3,53350,0,0,340.5,6495.5
28,63,9616,441,0.4,27,0,107877,0,0,176.4,3846.4
29,49,10551,667,0.39,31,0,37226,2,0,260.13,4114.89
30,37,4866,383,0.33,25,4,106716,0,1,126.39,1605.78
